User,Gesture,Machine,Accuracy,Precision,Recall,F1
DM09,Decide,SVM,0.92405,0.66667,0.28571,0.4
DM09,Decide,NN,0.88608,0.33333,0.28571,0.30769
DM09,Father,DT,0.91139,0.5,0.71429,0.58824
DM09,Father,SVM,0.93671,1,0.28571,0.44444
DM09,Father,NN,0.91139,0,0,0
DM09,Find,DT,0.92405,0.66667,0.5,0.57143
DM09,Find,SVM,0.93671,1,0.375,0.54545
DM09,Find,NN,0.91139,0.6,0.375,0.46154
DM09,GoOut,DT,0.96203,0.85714,0.75,0.8
DM09,GoOut,SVM,0.97468,1,0.75,0.85714
DM09,GoOut,NN,0.98734,1,0.875,0.93333
DM09,Hearing,DT,0.93671,0.71429,0.625,0.66667
DM09,Hearing,SVM,0.98734,1,0.875,0.93333
DM09,Hearing,NN,0.96203,0.77778,0.875,0.82353
DM11,About,DT,0.975,0.875,0.875,0.875
DM11,About,SVM,0.9875,1,0.875,0.93333
DM11,About,NN,0.975,0.875,0.875,0.875
DM11,And,DT,0.9875,1,0.875,0.93333
DM11,And,SVM,0.9625,0.85714,0.75,0.8
DM11,And,NN,0.9875,1,0.875,0.93333
DM11,Can,DT,0.95,0.83333,0.625,0.71429
DM11,Can,SVM,0.95,1,0.5,0.66667
DM11,Can,NN,0.975,1,0.75,0.85714
DM11,Cop,DT,0.925,0.75,0.375,0.5
DM11,Cop,SVM,0.975,0.875,0.875,0.875
DM11,Cop,NN,1,1,1,1
DM11,Deaf,DT,0.975,0.875,0.875,0.875
DM11,Deaf,SVM,0.9875,1,0.875,0.93333
DM11,Deaf,NN,1,1,1,1
DM11,Decide,DT,0.9,0.5,0.25,0.33333
DM11,Decide,SVM,0.9875,1,0.875,0.93333
DM11,Decide,NN,0.9875,0.88889,1,0.94118
DM11,Father,DT,0.9375,0.66667,0.75,0.70588
DM11,Father,SVM,1,1,1,1
DM11,Father,NN,1,1,1,1
DM11,Find,DT,0.975,0.8,1,0.88889
DM11,Find,SVM,0.975,1,0.75,0.85714
DM11,Find,NN,0.9625,0.77778,0.875,0.82353
DM11,GoOut,DT,0.9125,0.6,0.375,0.46154
DM11,GoOut,SVM,0.975,1,0.75,0.85714
DM11,GoOut,NN,0.975,0.875,0.875,0.875
DM11,Hearing,DT,0.9375,0.8,0.5,0.61538
DM11,Hearing,SVM,1,1,1,1
DM11,Hearing,NN,1,1,1,1
DM13,About,DT,0.925,1,0.25,0.4
DM13,About,SVM,0.9375,1,0.375,0.54545
DM13,About,NN,0.95,0.83333,0.625,0.71429
DM13,And,DT,0.9,0.5,0.125,0.2
DM13,And,SVM,0.975,1,0.75,0.85714
DM13,And,NN,0.975,1,0.75,0.85714
DM13,Can,DT,0.975,1,0.75,0.85714
DM13,Can,SVM,1,1,1,1
DM13,Can,NN,1,1,1,1
DM13,Cop,DT,0.9625,0.72727,1,0.84211
DM13,Cop,SVM,0.95,0.83333,0.625,0.71429
DM13,Cop,NN,0.9625,0.85714,0.75,0.8
DM13,Deaf,DT,0.9875,1,0.875,0.93333
DM13,Deaf,SVM,1,1,1,1
DM13,Deaf,NN,1,1,1,1
DM13,Decide,DT,0.9875,0.88889,1,0.94118
DM13,Decide,SVM,1,1,1,1
DM13,Decide,NN,1,1,1,1
DM13,Father,DT,0.9,0.5,0.5,0.5
DM13,Father,SVM,1,1,1,1
DM13,Father,NN,0.975,0.8,1,0.88889
DM13,Find,DT,0.9625,0.72727,1,0.84211
DM13,Find,SVM,0.9875,0.88889,1,0.94118
DM13,Find,NN,0.9625,0.72727,1,0.84211
DM13,GoOut,DT,0.9375,0.71429,0.625,0.66667
DM13,GoOut,SVM,0.925,0.75,0.375,0.5
DM13,GoOut,NN,0.9375,0.71429,0.625,0.66667
DM13,Hearing,DT,0.9375,0.61538,1,0.7619
DM13,Hearing,SVM,0.925,0.625,0.625,0.625
DM13,Hearing,NN,0.9625,0.72727,1,0.84211
DM15,About,DT,0.91358,0.625,0.55556,0.58824
DM15,About,SVM,0.92593,1,0.33333,0.5
DM15,About,NN,0.90123,0.6,0.33333,0.42857
DM15,And,DT,0.96296,0.85714,0.75,0.8
DM15,And,SVM,1,1,1,1
DM15,And,NN,0.97531,1,0.75,0.85714
DM15,Can,DT,1,1,1,1
DM15,Can,SVM,1,1,1,1
DM15,Can,NN,1,1,1,1
DM15,Cop,DT,1,1,1,1
DM15,Cop,SVM,1,1,1,1
DM15,Cop,NN,0.98765,0.88889,1,0.94118
DM15,Deaf,DT,0.98765,0.88889,1,0.94118
DM15,Deaf,SVM,1,1,1,1
DM15,Deaf,NN,0.90123,0,0,0
DM15,Decide,DT,0.98765,0.88889,1,0.94118
DM15,Decide,SVM,0.96296,1,0.625,0.76923
DM15,Decide,NN,0.93827,0.66667,0.75,0.70588
DM15,Father,DT,1,1,1,1
DM15,Father,SVM,1,1,1,1
DM15,Father,NN,1,1,1,1
DM15,Find,DT,1,1,1,1
DM15,Find,SVM,1,1,1,1
DM15,Find,NN,1,1,1,1
DM15,GoOut,DT,1,1,1,1
DM15,GoOut,SVM,1,1,1,1
DM15,GoOut,NN,1,1,1,1
DM15,Hearing,DT,0.92593,0.57143,1,0.72727
DM15,Hearing,SVM,0.98765,0.88889,1,0.94118
DM15,Hearing,NN,0.97531,0.8,1,0.88889
DM16,About,DT,0.95402,0.8,0.8,0.8
DM16,About,SVM,0.97701,1,0.8,0.88889
DM16,About,NN,1,1,1,1
DM16,And,DT,0.96552,0.75,1,0.85714
DM16,And,SVM,1,1,1,1
DM16,And,NN,1,1,1,1
DM16,Can,DT,0.97701,0.83333,1,0.90909
DM16,Can,SVM,0.98851,1,0.9,0.94737
DM16,Can,NN,0.98851,0.90909,1,0.95238
DM16,Cop,DT,0.95402,0.75,0.75,0.75
DM16,Cop,SVM,0.97701,1,0.75,0.85714
DM16,Cop,NN,0.97701,0.875,0.875,0.875
DM16,Deaf,DT,0.95402,0.7,0.875,0.77778
DM16,Deaf,SVM,0.98851,0.88889,1,0.94118
DM16,Deaf,NN,0.98851,0.88889,1,0.94118
DM16,Decide,DT,0.98851,1,0.88889,0.94118
DM16,Decide,SVM,1,1,1,1
DM16,Decide,NN,0.98851,0.9,1,0.94737
DM16,Father,DT,0.97701,1,0.75,0.85714
DM16,Father,SVM,0.98851,1,0.875,0.93333
DM16,Father,NN,0.91954,1,0.125,0.22222
DM16,Find,DT,0.96552,1,0.66667,0.8
DM16,Find,SVM,0.98851,1,0.88889,0.94118
DM16,Find,NN,0.98851,1,0.88889,0.94118
DM16,GoOut,DT,1,1,1,1
DM16,GoOut,SVM,1,1,1,1
DM16,GoOut,NN,1,1,1,1
DM16,Hearing,DT,0.97701,0.8,1,0.88889
DM16,Hearing,SVM,1,1,1,1
