0.9082,0.9165,0.90527,0.91309,0.91895,0.91406,0.90332,0.91113,0.91357,0.90039,0.91455,0.91602,0.90869,0.9082,0.90918,0.91992,0.90283,0.89502,0.90283,0.91504,0.89746,0.90723,0.92676,0.92969,0.90918,0.90674,0.90088,0.8877,0.9292,0.92627,0.90771,0.93164,0.92822,0.91992,0.93896,0.92969,0.9126,0.9209,0.9292,0.92432,0.92285,0.92529,0.93066,0.92773,0.92139
-0.36572,-0.38818,-0.38623,-0.39941,-0.40234,-0.40625,-0.40527,-0.38037,-0.38135,-0.39795,-0.39551,-0.38818,-0.38867,-0.37695,-0.38818,-0.39648,-0.40869,-0.39795,-0.39209,-0.38672,-0.38916,-0.39355,-0.41211,-0.38916,-0.38574,-0.40527,-0.37207,-0.35254,-0.37256,-0.35254,-0.37402,-0.37012,-0.32715,-0.32813,-0.34082,-0.36816,-0.36816,-0.37109,-0.34961,-0.35547,-0.36035,-0.34912,-0.35889,-0.3501,-0.35449
0.11865,0.1333,0.14063,0.14209,0.12158,0.12207,0.1377,0.14258,0.12793,0.11963,0.1377,0.14551,0.13281,0.11816,0.12598,0.13037,0.13379,0.1377,0.13818,0.12598,0.12158,0.14307,0.15332,0.13477,0.11035,0.13184,0.1499,0.13037,0.12842,0.104,0.12939,0.12793,0.11963,0.12305,0.12305,0.11963,0.12256,0.13965,0.12646,0.11914,0.12402,0.12256,0.12402,0.11523,0.12061
-0.62842,-0.61963,-0.63281,-0.74414,-0.7998,-0.89502,-0.81787,-0.79834,-0.89258,-0.91748,-0.88574,-0.89941,-0.8623,-0.91699,-0.94971,-0.85156,-0.82373,-0.69971,-0.58008,-0.57373,-0.54395,-0.33301,-0.42334,0.22998,0.84717,1.0337,0.97119,1.1382,0.9292,0.75537,0.93457,0.94873,0.95166,0.92383,0.92236,0.93262,0.94043,0.92822,0.95166,0.92529,0.93945,0.94238,0.93945,0.92871,0.93555
0.69482,0.56738,0.49561,0.40283,0.40283,0.37207,0.45215,0.40869,0.34863,0.39209,0.39502,0.40088,0.40723,0.34814,0.39258,0.41553,0.37744,0.375,0.37354,0.47949,0.68896,0.78467,0.86035,1.0244,0.85791,0.74805,0.74463,0.35352,0.54248,0.4082,0.29297,0.2417,0.21387,0.25488,0.27832,0.23047,0.23877,0.26611,0.23096,0.25977,0.23682,0.26514,0.24365,0.26855,0.25098
0.23633,0.13525,0.03125,-0.084961,-0.13086,-0.18213,-0.18164,-0.21973,-0.26514,-0.20557,-0.19482,-0.16895,-0.16309,-0.35645,-0.27344,-0.17969,-0.14502,-0.11572,0.030762,0.066406,0.23242,0.35791,0.35303,0.48438,0.43018,0.4126,0.32275,0.12646,0.24561,0.2251,0.13721,0.09375,0.11475,0.14453,0.13574,0.12598,0.12695,0.13916,0.14893,0.1084,0.13135,0.12939,0.13379,0.12256,0.13428
0,-1,0,1,-2,-2,0,-1,-2,1,-2,-1,0,-2,-1,0,-2,-1,1,0,-1,-3,-1,-1,-1,-2,0,-2,-1,-2,0,0,-1,-2,-1,0,-1,-2,-2,0,0,-1,-1,0,-2
-1,-1,-1,0,-2,-1,0,-1,-1,-1,-1,-1,-2,0,0,2,-2,0,-1,-3,0,-1,-2,-1,-2,1,-1,-5,-2,1,-1,-2,-2,-1,1,0,0,-2,-1,-2,-1,-2,-1,-1,-3
-1,-1,0,-2,-2,0,-2,-1,0,-1,-2,-1,0,-1,1,0,1,-1,0,-2,-1,-1,-1,-2,-1,-2,0,-1,-2,-2,0,-1,0,-1,-2,-2,0,-2,1,-3,-3,-2,1,-2,0
-2,0,-2,-1,-1,0,-1,-2,0,-1,-1,-1,-1,-1,-2,-3,-1,-1,-1,-2,-1,-1,-1,-1,0,-1,-1,0,-2,-2,0,-1,-1,-1,0,-1,-2,-1,-1,-2,0,0,0,-2,0
0,-2,-1,-1,-3,1,-2,0,-1,-1,0,0,-4,0,0,-1,-1,-3,-1,0,-1,1,-1,0,0,-2,-1,-3,-2,-2,-1,0,-1,0,-3,-1,-1,-1,-1,0,0,-2,-1,-1,-2
-2,-1,0,-2,0,-1,-2,-3,-1,-2,-2,-1,-1,-1,0,-1,0,-1,-3,-2,0,-4,-1,-2,-1,1,0,-3,-3,-1,-1,-2,-2,-2,-2,-1,-2,-1,-1,-2,-1,-1,0,-2,-2
-1,-1,0,-1,1,0,-1,-1,-2,0,-2,0,0,-2,0,0,-1,-2,-2,-1,-2,-1,-2,-2,-2,-1,6,-7,0,0,0,0,0,-1,-2,-1,-1,-2,0,-1,-1,-1,0,-1,-1
0,-2,-1,-2,0,-2,-1,-1,0,-1,-2,0,-1,0,-1,-2,0,-1,-1,0,-2,-2,-2,-2,-2,-3,1,-1,-2,-1,-4,0,1,0,0,-2,-2,-1,-1,-2,0,-1,-1,-1,-1
-12,-15,18,52,3,13,1,-66,-9,1,-46,-11,27,19,11,-3,13,-41,-12,10,21,4,9,3,21,2,-5,-34,5,4,0,3,3,-2,-6,7,-26,10,-1,5,6,-9,14,-29,-7
9,1,6,1,-3,16,-3,-13,1,12,-9,-6,-1,10,0,0,-1,-16,-8,0,6,-4,-1,-2,3,2,0,0,1,1,0,-2,-3,1,-3,0,-2,3,1,2,-4,1,3,-4,1
10,1,-1,-3,-2,14,-1,-2,-3,7,-2,-2,-3,4,5,1,-3,-9,-3,0,3,-3,2,0,0,-2,1,-2,0,0,-1,1,-1,1,0,0,0,0,0,0,-2,2,1,-2,2
