0.92871,0.87695,0.88574,0.87207,0.86426,0.89063,0.98877,0.89746,0.68896,0.62793,0.72803,0.71484,0.61426,0.6084,0.5791,0.54688,0.50684,0.55225,0.5752,0.73682,1.1216,0.77441,0.85596,0.81543,0.77197,0.81689,0.80322,0.771,0.76416,0.78857,0.76904,0.8208,0.79492,0.81592,0.7832,0.77148,0.73682,0.88184,0.92969,0.9082,0.94824,0.86865,0.90723,0.91553,0.8999
-0.31201,-0.47314,-0.36035,-0.48096,-0.42285,-0.4668,-0.36084,-0.50098,-0.60059,-0.61182,-0.5918,-0.57764,-0.65918,-0.67334,-0.68115,-0.69531,-0.66162,-0.59766,-0.69971,-0.47705,-0.50293,-0.63525,-0.5542,-0.5498,-0.49316,-0.49316,-0.50977,-0.56787,-0.59033,-0.53223,-0.55615,-0.50537,-0.54443,-0.52441,-0.52197,-0.4751,-0.48877,-0.41602,-0.50146,-0.38623,-0.58203,-0.36475,-0.41064,-0.396,-0.36865
0.11572,0.24268,0.18457,0.29053,0.2168,0.2041,0.18604,0.3208,0.41162,0.39746,0.37695,0.41455,0.43652,0.42725,0.47119,0.44727,0.44043,0.3833,0.46289,0.48193,0.4292,0.37061,0.34082,0.34619,0.37109,0.32666,0.29736,0.30371,0.34619,0.33398,0.34082,0.27393,0.30859,0.31836,0.30664,0.28174,0.32422,0.24902,0.26025,0.085938,0.12793,0.28711,0.1123,0.17822,0.20459
0.81445,0.82275,0.81055,0.85205,0.84863,0.91602,0.93213,0.65088,0.60547,0.66016,0.64258,0.59033,0.49219,0.53223,0.48438,0.44727,0.40918,0.58789,0.70361,0.86621,0.66357,0.75537,0.76953,0.73242,0.77197,0.81689,0.75439,0.75732,0.74561,0.76074,0.76807,0.75537,0.76953,0.77051,0.73682,0.68945,0.83984,0.89258,0.93262,0.94727,0.85986,0.88574,0.90869,0.88867,0.88477
0.44434,0.39844,0.47754,0.36426,0.44189,0.39453,0.4668,0.62842,0.57471,0.62695,0.62695,0.67383,0.65967,0.75684,0.68604,0.71533,0.68066,0.76904,0.3335,0.50049,0.66553,0.53467,0.56934,0.53711,0.49854,0.48828,0.4751,0.51172,0.50586,0.51514,0.52295,0.52686,0.48047,0.46973,0.48779,0.44336,0.37256,0.43604,0.30811,0.45557,0.31836,0.35889,0.35889,0.32324,0.34668
0.30908,0.31543,0.32324,0.28369,0.29785,0.27783,0.39697,0.39893,0.42578,0.4043,0.41797,0.45215,0.46631,0.45361,0.44287,0.4541,0.44629,0.36963,0.37744,0.41406,0.33789,0.375,0.38086,0.38672,0.35791,0.354,0.34961,0.37305,0.38672,0.37646,0.37695,0.34912,0.3667,0.37354,0.36865,0.3999,0.32227,0.31592,0.12402,0.20264,0.3335,0.17041,0.17188,0.26611,0.22021
-6,-9,2,-11,-16,0,-11,12,-28,-6,9,-7,-2,-2,19,18,-16,-2,46,43,76,43,-15,45,36,-7,9,5,40,26,15,47,10,17,1,2,5,4,-8,-7,-9,5,3,-3,2
-1,2,-1,0,-3,1,-12,-9,-9,2,-4,-3,-8,1,-11,0,-9,-1,-16,35,39,20,-11,7,10,-1,-8,16,17,17,6,30,-9,-17,-5,40,0,12,-8,-7,-7,-9,24,-14,8
0,-5,-43,-9,-12,16,1,0,1,2,-3,7,-6,2,-7,3,-3,85,72,52,91,4,28,44,66,-15,92,41,47,72,18,-26,-37,37,8,8,2,-10,-11,5,0,-1,-1,-1,-8
-2,-1,-8,-7,-5,4,1,2,-4,-2,-4,9,4,10,-5,7,10,24,9,23,5,-15,4,21,17,8,41,7,9,15,11,15,-3,4,2,-2,4,-2,2,20,5,1,-3,-1,-4
1,3,0,-11,-6,11,18,-1,-17,30,19,15,-1,24,10,2,16,1,12,37,13,17,-9,15,14,3,6,20,2,1,-7,2,-2,-9,0,6,0,-4,0,4,0,-3,-4,-1,0
1,9,0,-13,-14,11,-16,15,-7,55,56,5,1,-5,28,-7,10,-7,6,33,1,23,-5,15,8,5,4,16,13,3,-7,-12,-7,-8,-1,15,-3,0,-1,-1,4,1,-2,-3,0
-1,8,3,-2,-19,-7,33,38,6,31,10,-6,38,-20,3,21,8,-13,8,-5,15,0,-29,7,15,11,19,6,5,1,11,7,-17,-14,4,12,-13,-4,-4,-4,12,-2,0,-5,2
-1,2,-2,-4,-5,-14,4,17,-26,-23,31,5,-2,-12,-10,6,-30,-14,-1,-37,73,11,-78,16,8,12,-12,30,33,1,41,14,25,-39,-10,9,6,-1,-5,-7,3,-1,3,-7,-2
5,1,6,0,8,21,15,31,16,-21,-31,-8,-26,8,-5,14,3,16,1,-5,2,3,-4,5,-7,-4,-6,0,-5,4,-2,4,6,1,-4,17,-5,2,-6,1,0,-3,0,-1,0
-3,-1,9,-9,-8,-4,-28,14,-22,-37,36,-19,17,43,-7,3,-12,-24,9,-5,0,6,-8,24,-7,-8,-5,-4,-7,2,3,-15,1,0,-1,0,-1,3,-7,0,0,-3,0,-1,1
-2,0,0,-4,-4,1,-11,7,2,-13,14,-8,11,8,-7,-6,-12,-114,41,-15,6,-4,-5,12,-14,2,-8,4,-9,-1,3,-7,-5,-3,-2,-5,1,3,-10,1,-1,2,-1,1,-1
-1,0,-1,-2,-3,-3,-10,4,10,1,-6,-1,2,3,-3,-2,-11,-58,-20,-4,0,-4,-11,0,14,-1,-27,1,-13,5,-9,5,-2,-2,2,-3,-1,0,-42,14,-3,5,-1,2,0
0,0,0,-6,-1,-1,-7,1,0,4,2,-4,2,-5,-4,3,-19,-78,5,34,0,-8,9,4,2,-2,4,-5,-9,5,5,-1,-5,1,2,0,-2,1,-12,4,-2,0,-1,0,0
0,-7,-6,-2,-1,4,-7,1,-3,1,-1,-12,-4,1,3,-5,-31,17,-18,3,11,-3,4,-9,-8,-6,-4,3,2,-3,-1,2,3,-4,-1,0,-3,1,6,4,0,-2,9,-3,-1
2,-3,-10,2,8,19,-13,12,-19,-5,0,-15,-3,25,14,-23,31,94,47,-5,-17,10,-56,10,4,-8,61,3,-12,6,0,-2,-14,4,49,-4,-16,-3,-10,-2,2,-1,-3,8,1
