176,138.01,138.01,130.81,109.42,109.42,70,66.327,256.43,256.43,240.68,240.68,156.16,156.16,144.92,144.92,194.78,194.78,182.41,182.41,6.6661,6.1677,5.4512,3.207,54.291,44.054,29.401,24.046,12.621,10.913,8.26,4.7968,34.254,14.45,13.64,11.673,87.994,48.272,31.881,12.664,14.805,34.947,23.099,22.776,11.263,0.25641,32.612,14.482,0.13015,0.079111,15.32,15.32,15.32,0.13619,21.226
66.227,66.227,63.795,63.795,116.22,116.22,102.79,102.79,257.17,257.17,247.36,247.36,144.49,144.49,115.31,115.31,62.436,62.436,61.698,61.698,25.222,19.105,9.1507,7.0333,19.614,18.997,12.303,11.444,8.8551,6.045,3.9529,3.753,15.15,11.702,11.186,8.5357,86.413,56.07,34.691,26.378,6.6483,20.965,18.671,12.515,11.056,0.47735,21.195,6.5314,0.23545,0.04286,16.546,16.546,16.546,0.24977,25.673
122.8,122.8,114.35,114.35,120.59,120.59,70,65.898,186.08,186.08,164.83,164.83,171.65,171.65,163.07,163.07,87.824,87.824,71.566,71.566,41.021,32.604,12.389,9.4795,32.939,29.2,22.829,9.6472,22.289,12.045,9.8942,5.161,14.551,8.8109,7.6347,4.1734,89.658,69.911,40.33,24.203,9.9599,31.081,13.74,12.942,14.852,0.48896,31.231,9.9107,0.24102,0.083519,28.918,28.918,28.918,0.26313,33.913
122.36,122.36,104.85,104.85,70,63.609,63.609,62.719,235.52,235.52,214.52,214.52,245.77,245.77,218.68,218.68,97,97,79.844,79.844,24.22,11.311,9.0678,6.4068,21.327,19.463,14.573,11.74,17.001,14.558,11.044,8.377,14.979,5.1344,4.3422,4.3002,68.086,39.739,26.582,16.29,9.6552,26.508,15.606,10.131,11.194,0.54042,26.014,9.2955,0.27466,0.033622,24.387,24.387,24.387,0.32714,34.124
142.2,142.2,132.32,132.32,72.449,72.449,69.376,69.376,281.68,281.68,229.83,229.83,156.96,156.96,138.92,138.92,110,80.239,80.239,74.071,16.004,13.747,12.52,10.305,31.729,21.136,16.218,15.734,13.496,11.397,9.404,5.7529,16.093,6.0451,4.5707,4.1899,88.237,63.457,44.554,14.976,9.1031,27.828,21.276,13.402,13.241,0.55438,27.909,8.8225,0.27374,0.14336,24.203,24.203,24.203,0.27989,33.489
125.43,125.43,124.99,124.99,130,125.14,125.14,103.24,261.42,261.42,219.33,219.33,191.07,191.07,188.73,188.73,96.348,96.348,82.29,82.29,58.444,45.258,6.748,5.8117,11.578,6.6575,4.5651,2.9623,33.975,29.788,9.6464,8.0319,11.844,7.5096,5.2382,4.5616,102.95,74.134,21.953,21.721,12.264,30.092,20.029,15.158,10.295,0.47428,30.357,12.37,0.21716,0.1014,20.877,20.877,20.877,0.25504,28.134
76.214,76.214,74.399,74.399,74.88,74.88,71.85,71.85,147.22,147.22,145.58,145.58,120.51,120.51,119.49,119.49,54,48.016,48.016,46.296,14.756,12.045,9.4152,5.4801,22.9,19.544,17.793,10.24,21.222,4.6524,3.8617,3.7425,9.4042,8.4221,7.9518,4.8584,40.018,36.164,29.385,24.857,7.1321,30.404,13.353,11.403,15.83,0.50219,30.731,7.1536,0.24218,0.05914,20.827,20.827,20.827,0.28025,19.303
89.763,89.763,87.331,87.331,65.977,65.977,64.813,64.813,242.74,242.74,236.27,236.27,119.55,119.55,99.542,99.542,40.237,40.237,33.488,33.488,24.167,13.91,8.211,7.7559,12.139,11.708,10.938,5.4087,13.009,10.053,6.6946,6.5218,7.0996,5.9991,5.0368,4.4479,114.85,89.473,63.101,51.7,10.607,29.057,16.904,12.775,12.315,0.48877,29.297,10.444,0.23954,0.1005,22.94,22.94,22.94,0.26593,36.039
130.87,130.87,127.68,127.68,87.73,87.73,70.078,70.078,189.45,189.45,176.32,176.32,190,183.32,183.32,174.71,55.995,55.995,55.276,55.276,15.876,8.4838,7.2932,2.1587,39.214,18.399,13.865,11.516,14.449,10.931,5.9871,3.0568,17.852,15.045,6.5648,2.8199,84.028,28.027,19.923,14.03,9.3452,31.163,15.266,12.824,12.663,0.52978,31.085,9.399,0.24991,0.082832,29.551,29.551,29.551,0.29588,30.559
79.554,79.554,71.953,71.953,115.36,115.36,104.31,104.31,338.42,338.42,240.47,240.47,169.85,169.85,161.2,161.2,88.869,88.869,78.941,78.941,35.468,24.499,2.7956,1.8751,31.023,7.4328,4.763,3.8422,21.46,10.441,1.165,1.131,32.063,14.986,8.334,6.6915,60.531,39.048,22.345,20.142,17.343,21.612,16.582,15.974,10.362,0.40865,21.724,17.216,0.21124,0.025676,24.847,24.847,24.847,0.26459,23.998
