User,Gesture,Machine,Accuracy,Precision,Recall,F1
DM13,Decide,SVM,0.90411,NaN,0,NaN
DM13,Decide,NN,0.87671,0,0,NaN
DM13,Father,DT,0.87671,0.25,0.14286,0.18182
DM13,Father,SVM,0.90411,NaN,0,NaN
DM13,Father,NN,0.87671,0,0,NaN
DM13,Find,DT,0.83562,0,0,NaN
DM13,Find,SVM,0.89041,NaN,0,NaN
DM13,Find,NN,0.89041,NaN,0,NaN
DM13,GoOut,DT,0.76712,0,0,NaN
DM13,GoOut,SVM,0.90411,NaN,0,NaN
DM13,GoOut,NN,0.82192,0,0,NaN
DM13,Hearing,DT,0.76712,0,0,NaN
DM13,Hearing,SVM,0.89041,NaN,0,NaN
DM13,Hearing,NN,0.79452,0,0,NaN
DM16,About,DT,0.77647,0.083333,0.11111,0.095238
DM16,About,SVM,0.89412,NaN,0,NaN
DM16,About,NN,0.88235,0,0,NaN
DM16,And,DT,0.85882,0.2,0.11111,0.14286
DM16,And,SVM,0.89412,NaN,0,NaN
DM16,And,NN,0.87059,0,0,NaN
DM16,Can,DT,0.77647,0,0,NaN
DM16,Can,SVM,0.88235,NaN,0,NaN
DM16,Can,NN,0.83529,0,0,NaN
DM16,Cop,DT,0.89412,0.33333,0.125,0.18182
DM16,Cop,SVM,0.90588,NaN,0,NaN
DM16,Cop,NN,0.85882,0,0,NaN
DM16,Deaf,DT,0.83529,0,0,NaN
DM16,Deaf,SVM,0.90588,NaN,0,NaN
DM16,Deaf,NN,0.90588,NaN,0,NaN
DM16,Decide,DT,0.82353,0,0,NaN
DM16,Decide,SVM,0.89412,NaN,0,NaN
DM16,Decide,NN,0.83529,0,0,NaN
DM16,Father,DT,0.87059,0,0,NaN
DM16,Father,SVM,0.90588,NaN,0,NaN
DM16,Father,NN,0.89412,0,0,NaN
DM16,Find,DT,0.78824,0.090909,0.11111,0.1
DM16,Find,SVM,0.89412,NaN,0,NaN
DM16,Find,NN,0.88235,0,0,NaN
DM16,GoOut,DT,0.8,0,0,NaN
DM16,GoOut,SVM,0.90588,NaN,0,NaN
DM16,GoOut,NN,0.90588,NaN,0,NaN
DM16,Hearing,DT,0.89412,0.25,0.14286,0.18182
DM16,Hearing,SVM,0.91765,NaN,0,NaN
DM16,Hearing,NN,0.91765,NaN,0,NaN
DM27,About,DT,0.84211,0,0,NaN
DM27,About,SVM,0.92105,NaN,0,NaN
DM27,About,NN,0.92105,NaN,0,NaN
DM27,And,DT,0.85526,0,0,NaN
DM27,And,SVM,0.90789,NaN,0,NaN
DM27,And,NN,0.90789,NaN,0,NaN
DM27,Can,DT,0.88158,0,0,NaN
DM27,Can,SVM,0.90789,NaN,0,NaN
DM27,Can,NN,0.90789,NaN,0,NaN
DM27,Cop,DT,0.80263,0,0,NaN
DM27,Cop,SVM,0.89474,NaN,0,NaN
DM27,Cop,NN,0.85526,0,0,NaN
DM27,Deaf,DT,0.85526,0.2,0.125,0.15385
DM27,Deaf,SVM,0.89474,NaN,0,NaN
DM27,Deaf,NN,0.89474,NaN,0,NaN
DM27,Decide,DT,0.84211,0.16667,0.125,0.14286
DM27,Decide,SVM,0.89474,NaN,0,NaN
DM27,Decide,NN,0.89474,NaN,0,NaN
DM27,Father,DT,0.84211,0.16667,0.125,0.14286
DM27,Father,SVM,0.89474,NaN,0,NaN
DM27,Father,NN,0.89474,NaN,0,NaN
DM27,Find,DT,0.85526,0.2,0.125,0.15385
DM27,Find,SVM,0.89474,NaN,0,NaN
DM27,Find,NN,0.85526,0.2,0.125,0.15385
DM27,GoOut,DT,0.85526,0,0,NaN
DM27,GoOut,SVM,0.89474,NaN,0,NaN
DM27,GoOut,NN,0.86842,0,0,NaN
DM27,Hearing,DT,0.85526,0,0,NaN
DM27,Hearing,SVM,0.89474,NaN,0,NaN
DM27,Hearing,NN,0.89474,NaN,0,NaN
DM29,About,DT,0.86486,0,0,NaN
DM29,About,SVM,0.90541,NaN,0,NaN
DM29,About,NN,0.90541,NaN,0,NaN
DM29,And,DT,0.81081,0,0,NaN
DM29,And,SVM,0.89189,NaN,0,NaN
DM29,And,NN,0.89189,NaN,0,NaN
DM29,Can,DT,0.85135,0,0,NaN
DM29,Can,SVM,0.89189,NaN,0,NaN
DM29,Can,NN,0.86486,0.33333,0.25,0.28571
DM29,Cop,DT,0.81081,0.18182,0.28571,0.22222
DM29,Cop,SVM,0.90541,NaN,0,NaN
DM29,Cop,NN,0.89189,0,0,NaN
DM29,Deaf,DT,0.90541,0,0,NaN
DM29,Deaf,SVM,0.91892,NaN,0,NaN
